"Reporter","ReporterName","Partner","PartnerName","Year","TL","TrfLineDescription","TLS","Duty Type","Duty Code","AV Duty Rate","Specific Duty Rate"
"392","Japan","000"," World",2023,20610011,"----Tongues",,0,2,12.8,""
"392","Japan","000"," World",2023,20610019,"----Other",,0,2,12.8,""
"392","Japan","000"," World",2023,20610020,"--1 Cheek meat and head meat",,0,2,50,""
"392","Japan","000"," World",2023,20610090,"---(2) Other",,0,2,21.3,""
"392","Japan","000"," World",2023,20621000,"--Tongues",,0,2,12.8,""
"392","Japan","000"," World",2023,20622000,"--Livers",,0,2,12.8,""
"392","Japan","000"," World",2023,20629010,"----(1) Internal organs",,0,2,12.8,""
"392","Japan","000"," World",2023,20629020,"---1 Cheek meat and head meat",,0,2,50,""
"392","Japan","000"," World",2023,20629090,"----(2) Other",,0,2,21.3,""
"392","Japan","000"," World",2023,20630010,"--1 Of wild boars",,0,2,0,""
"392","Japan","000"," World",2023,20630091,"---(1) Internal organs",,0,2,8.5,""
"392","Japan","000"," World",2023,20630093,"----*[1] Each kilogram, not more than the upper limit prices for the specific duty applied on partial pig, in value for customs duty S",,0,2,,"482yen/kg"
"392","Japan","000"," World",2023,20630094,"-----Less than 399 yen/kg in value for customs duty",,0,2,,"Min(482yen/kg; Per each kilogram, the difference between the standard import price of partial pig and the value for customs duty)"
"392","Japan","000"," World",2023,20630095,"-----Not less than 399 yen/kg in value for customs duty",,0,2,,"Min(482yen/kg; Per each kilogram, the difference between the standard import price of partial pig and the value for customs duty)"
"392","Japan","000"," World",2023,20630099,"----*[3] Each kilogram, more than the gate prices of partial pig, in value for customs duty S",,0,2,4.3,""
"392","Japan","000"," World",2023,20641010,"---1 Of wild boars",,0,2,0,""
"392","Japan","000"," World",2023,20641090,"---2 Other",,0,2,8.5,""
"392","Japan","000"," World",2023,20649010,"---1 Of wild boars",,0,2,0,""
"392","Japan","000"," World",2023,20649091,"----(1) Internal organs",,0,2,8.5,""
"392","Japan","000"," World",2023,20649093,"-----*[1] Each kilogram, not more than the upper limit prices for the specific duty applied on partial pig, in value for customs duty S",,0,2,,"482yen/kg"
"392","Japan","000"," World",2023,20649094,"------Less than 399 yen/kg in value for customs duty",,0,2,,"Min(482yen/kg; Per each kilogram, the difference between the standard import price of partial pig and the value for customs duty)"
"392","Japan","000"," World",2023,20649095,"------Not less than 399 yen/kg in value for customs duty",,0,2,,"Min(482yen/kg; Per each kilogram, the difference between the standard import price of partial pig and the value for customs duty)"
"392","Japan","000"," World",2023,20649099,"-----*[3] Each kilogram, more than the gate prices of partial pig, in value for customs duty S",,0,2,4.3,""
"392","Japan","000"," World",2023,20680000,"-Other, fresh or chilled",,0,2,0,""
"392","Japan","000"," World",2023,20690000,"-Other, frozen",,0,2,0,""
"392","Japan","000"," World",2023,20711000,"--Not cut in pieces, fresh or chilled",,0,2,11.9,""
"392","Japan","000"," World",2023,20712000,"--Not cut in pieces, frozen",,0,2,11.9,""
"392","Japan","000"," World",2023,20713100,"---1 Legs with bone in",,0,2,8.5,""
"392","Japan","000"," World",2023,20713200,"---2 Other",,0,2,11.9,""
"392","Japan","000"," World",2023,20714100,"---1 Livers",,0,2,3,""
"392","Japan","000"," World",2023,20714210,"----(1) Legs with bone in",,0,2,8.5,""
"392","Japan","000"," World",2023,20714220,"----(2) Other",,0,2,11.9,""
"392","Japan","000"," World",2023,20724000,"--Not cut in pieces, fresh or chilled",,0,2,3,""
"392","Japan","000"," World",2023,20725000,"--Not cut in pieces, frozen",,0,2,3,""
"392","Japan","000"," World",2023,20726000,"--Cuts and offal, fresh or chilled",,0,2,3,""
"392","Japan","000"," World",2023,20727100,"---1 Livers",,0,2,3,""
"392","Japan","000"," World",2023,20727200,"---2 Other",,0,2,3,""
"392","Japan","000"," World",2023,20741000,"--Not cut in pieces, fresh or chilled",,0,2,9.6,""
"392","Japan","000"," World",2023,20742000,"--Not cut in pieces, frozen",,0,2,9.6,""
"392","Japan","000"," World",2023,20743000,"--Fatty livers, fresh or chilled",,0,2,3,""
"392","Japan","000"," World",2023,20744000,"--Other, fresh or chilled",,0,2,9.6,""
"392","Japan","000"," World",2023,20745010,"---Livers",,0,2,3,""
"392","Japan","000"," World",2023,20745090,"---Other",,0,2,9.6,""
"392","Japan","000"," World",2023,20751000,"--Not cut in pieces, fresh or chilled",,0,2,9.6,""
"392","Japan","000"," World",2023,20752000,"--Not cut in pieces, frozen",,0,2,9.6,""
"392","Japan","000"," World",2023,20753000,"--Fatty livers, fresh or chilled",,0,2,3,""
"392","Japan","000"," World",2023,20754000,"--Other, fresh or chilled",,0,2,9.6,""
"392","Japan","000"," World",2023,20755100,"---1 Livers",,0,2,3,""
"392","Japan","000"," World",2023,20755200,"---2 Other",,0,2,9.6,""
"392","Japan","000"," World",2023,20760100,"--1 Livers, frozen",,0,2,3,""
"392","Japan","000"," World",2023,20760200,"--2 Other",,0,2,9.6,""
"392","Japan","000"," World",2023,20810000,"-Of rabbits or hares",,0,2,0,""
"392","Japan","000"," World",2023,20830000,"-Of primates",,0,2,0,""
"392","Japan","000"," World",2023,20840011,"--Of whales",,0,2,0,""
"392","Japan","000"," World",2023,20840090,"--Other",,0,2,0,""
"392","Japan","000"," World",2023,20850000,"-Of reptiles (including snakes and turtles)",,0,2,0,""
"392","Japan","000"," World",2023,20860000,"-Of camels and other camelids (Camelidae)",,0,2,0,""
"392","Japan","000"," World",2023,20890000,"-Other",,0,2,0,""
"392","Japan","000"," World",2023,20910000,"-Of pigs",,0,2,6,""
"392","Japan","000"," World",2023,20990000,"-Other",,0,2,6,""
"392","Japan","000"," World",2023,21011010,"---*[1] Each kilogram, in value for customs duty, not more than the gate prices for the specific duty applied on processed meat of swine, where the gate prices shall be obtained by dividing Prices A by Rates B plus 0.6, and multiplying by 1.5, the same definition shall be applied in this heading and in heading 16.02. Prices A: standard import prices for processed meat of swine specified by the subparagraph 1 of paragraph 4 of the Annex 1-3-2 to the Temporary Tariff Measures Law corresponding to the period of importation provided by the Annex, the same definition shall be applied in this heading and in heading 16.02. Rates B: the rates specified in this subheading *[2] according to the each divisions of each import terms provided in the Annex 1-3 S",,0,2,,"Min(1,035yen/kg; Per each kilogram, the difference between the value obtained by multiplying the standard import price of processed pig by 1.5 and the value obtained by multiplying the value for customs duty by 0.6)"
"392","Japan","000"," World",2023,21011020,"---*[2] Each kilogram, more than the gate prices of processed meat of swine, in value for customs duty S",,0,2,8.5,""
"392","Japan","000"," World",2023,21012010,"---*[1] Each kilogram, not more than the gate prices of processed meat of swine, in value for customs duty S",,0,2,,"Min(1,035yen/kg; Per each kilogram, the difference between the value obtained by multiplying the standard import price of processed pig by 1.5 and the value obtained by multiplying the value for customs duty by 0.6)"
"392","Japan","000"," World",2023,21012020,"---*[2] Each kilogram, more than the gate prices of processed meat of swine, in value for customs duty S",,0,2,8.5,""
"392","Japan","000"," World",2023,21019010,"---*[1] Each kilogram, not more than the gate prices of processed meat of swine, in value for customs duty S",,0,2,,"Min(1,035yen/kg; Per each kilogram, the difference between the value obtained by multiplying the standard import price of processed pig by 1.5 and the value obtained by multiplying the value for customs duty by 0.6)"
"392","Japan","000"," World",2023,21019020,"---*[2] Each kilogram, more than the gate prices of processed meat of swine, in value for customs duty S",,0,2,8.5,""
"392","Japan","000"," World",2023,21020000,"-Meat of bovine animals",,0,2,,"161.50yen/kg"
"392","Japan","000"," World",2023,21091000,"--Of primates",,0,2,4.2,""
"392","Japan","000"," World",2023,21092000,"--Of whales, dolphins and porpoises (mammals of the order Cetacea); of manatees and dugongs (mammals of the order Sirenia); of seals, sea lions and walruses (mammals of the suborder Pinnipedia)",,0,2,4.2,""
"392","Japan","000"," World",2023,21093000,"--Of reptiles (including snakes and turtles)",,0,2,4.2,""
"392","Japan","000"," World",2023,21099011,"----*[1] Each kilogram, not more than the gate prices of processed meat of swine, in value for customs duty S",,0,2,,"Min(1,035yen/kg; Per each kilogram, the difference between the value obtained by multiplying the standard import price of processed pig by 1.5 and the value obtained by multiplying the value for customs duty by 0.6)"
"392","Japan","000"," World",2023,21099019,"----*[2] Each kilogram, more than the gate prices of processed meat of swine, in value for customs duty S",,0,2,8.5,""
"392","Japan","000"," World",2023,21099020,"---2 Of bovine animals",,0,2,,"161.50yen/kg"
"392","Japan","000"," World",2023,21099090,"---3 Other",,0,2,4.2,""
"392","Japan","000"," World",2023,30111100,"---1 Carp (Cyprinus spp.) and gold-fish (Carassius auratus)",,0,2,3.5,""
"392","Japan","000"," World",2023,30111200,"---2 Other",,0,2,1.7,""
"392","Japan","000"," World",2023,30119000,"--Other",,0,2,1.7,""
"392","Japan","000"," World",2023,30191100,"---1 Fry for fish culture",,0,2,0,""
"392","Japan","000"," World",2023,30191200,"---2 Other",,0,2,3.5,""
"392","Japan","000"," World",2023,30192100,"---1 Fry for fish culture",,0,2,0,""
"392","Japan","000"," World",2023,30192200,"---2 Other",,0,2,3.5,""
"392","Japan","000"," World",2023,30193100,"---1 Fry for fish culture",,0,2,0,""
"392","Japan","000"," World",2023,30193200,"---2 Other",,0,2,3.5,""
