typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20250101","2025","52","2025","348","HUN","Hungary","M","Import","0","W00","World","0","W00","World","H6","HS","true","72","Iron and steel","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","2681816107.118",,"2681816107.118","4","false","true",
"C","A","20250101","2025","52","2025","352","ISL","Iceland","M","Import","0","W00","World","0","W00","World","H6","HS","true","72","Iron and steel","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"false","0","false","68661728.723","63748346.657","68661728.723","0","false","true",
"C","A","20250101","2025","52","2025","360","IDN","Indonesia","M","Import","0","W00","World","0","W00","World","H6","HS","true","72","Iron and steel","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","9527770544.764",,"9527770544.764","4","false","true",
"C","A","20250101","2025","52","2025","392","JPN","Japan","M","Import","0","W00","World","0","W00","World","H6","HS","true","72","Iron and steel","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"false","0","false","6866594850.776",,"6866594850.776","0","false","true",
"C","A","20250101","2025","52","2025","428","LVA","Latvia","M","Import","0","W00","World","0","W00","World","H6","HS","true","72","Iron and steel","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","579250411.04",,"579250411.04","4","false","true",
"C","A","20250101","2025","52","2025","440","LTU","Lithuania","M","Import","0","W00","World","0","W00","World","H6","HS","true","72","Iron and steel","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","1095317546",,"1095317546","4","false","true",
"C","A","20250101","2025","52","2025","484","MEX","Mexico","M","Import","0","W00","World","0","W00","World","H6","HS","true","72","Iron and steel","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"16362694975","16362694975","0","false","true",
"C","A","20250101","2025","52","2025","348","HUN","Hungary","M","Import","0","W00","World","0","W00","World","H6","HS","true","84","Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","25754403353.818",,"25754403353.818","4","false","true",
"C","A","20250101","2025","52","2025","352","ISL","Iceland","M","Import","0","W00","World","0","W00","World","H6","HS","true","84","Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","2071783416.098","2022249420.562","2071783416.098","4","false","true",
"C","A","20250101","2025","52","2025","360","IDN","Indonesia","M","Import","0","W00","World","0","W00","World","H6","HS","true","84","Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","36642276824.99",,"36642276824.99","4","false","true",
"C","A","20250101","2025","52","2025","392","JPN","Japan","M","Import","0","W00","World","0","W00","World","H6","HS","true","84","Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","79664490503.742",,"79664490503.742","4","false","true",
"C","A","20250101","2025","52","2025","428","LVA","Latvia","M","Import","0","W00","World","0","W00","World","H6","HS","true","84","Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","2346112677.46",,"2346112677.46","4","false","true",
"C","A","20250101","2025","52","2025","440","LTU","Lithuania","M","Import","0","W00","World","0","W00","World","H6","HS","true","84","Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","4176356521",,"4176356521","4","false","true",
"C","A","20250101","2025","52","2025","484","MEX","Mexico","M","Import","0","W00","World","0","W00","World","H6","HS","true","84","Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"false","0","false",,"144474585274","144474585274","0","false","true",
"C","A","20250101","2025","52","2025","348","HUN","Hungary","M","Import","0","W00","World","0","W00","World","H6","HS","true","85","Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"false","0","false","30381681641.006",,"30381681641.006","0","false","true",
"C","A","20250101","2025","52","2025","352","ISL","Iceland","M","Import","0","W00","World","0","W00","World","H6","HS","true","85","Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","1240304891.26","1193886729.422","1240304891.26","4","false","true",
"C","A","20250101","2025","52","2025","360","IDN","Indonesia","M","Import","0","W00","World","0","W00","World","H6","HS","true","85","Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"false","0","false","31877547339.331",,"31877547339.331","0","false","true",
"C","A","20250101","2025","52","2025","392","JPN","Japan","M","Import","0","W00","World","0","W00","World","H6","HS","true","85","Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"false","0","false","109601262578.279",,"109601262578.279","0","false","true",
"C","A","20250101","2025","52","2025","428","LVA","Latvia","M","Import","0","W00","World","0","W00","World","H6","HS","true","85","Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","3189015534.536",,"3189015534.536","4","false","true",
"C","A","20250101","2025","52","2025","440","LTU","Lithuania","M","Import","0","W00","World","0","W00","World","H6","HS","true","85","Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","4928176065",,"4928176065","4","false","true",
"C","A","20250101","2025","52","2025","484","MEX","Mexico","M","Import","0","W00","World","0","W00","World","H6","HS","true","85","Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"false","0","false",,"139747265525","139747265525","0","false","true",
"C","A","20250101","2025","52","2025","348","HUN","Hungary","M","Import","0","W00","World","0","W00","World","H6","HS","true","87","Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","16976609380.817",,"16976609380.817","4","false","true",
"C","A","20250101","2025","52","2025","352","ISL","Iceland","M","Import","0","W00","World","0","W00","World","H6","HS","true","87","Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","1136022209.058","1094258412.777","1136022209.058","4","false","true",
"C","A","20250101","2025","52","2025","360","IDN","Indonesia","M","Import","0","W00","World","0","W00","World","H6","HS","true","87","Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","10999068168.867",,"10999068168.867","4","false","true",
"C","A","20250101","2025","52","2025","392","JPN","Japan","M","Import","0","W00","World","0","W00","World","H6","HS","true","87","Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","23749055640.532",,"23749055640.532","4","false","true",
"C","A","20250101","2025","52","2025","428","LVA","Latvia","M","Import","0","W00","World","0","W00","World","H6","HS","true","87","Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","2553400115.188",,"2553400115.188","4","false","true",
"C","A","20250101","2025","52","2025","440","LTU","Lithuania","M","Import","0","W00","World","0","W00","World","H6","HS","true","87","Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","5415019669",,"5415019669","0","false","true",
"C","A","20250101","2025","52","2025","484","MEX","Mexico","M","Import","0","W00","World","0","W00","World","H6","HS","true","87","Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"62732602616","62732602616","4","false","true",
"C","A","20250101","2025","52","2025","579","NOR","Norway","M","Import","0","W00","World","0","W00","World","H6","HS","true","10","Cereals","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"false","0","false","225759295.371",,"225759295.371","0","false","true",
"C","A","20250101","2025","52","2025","600","PRY","Paraguay","M","Import","0","W00","World","0","W00","World","H6","HS","true","10","Cereals","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","92942893.772","89296900.81","92942893.772","0","false","true",
"C","A","20250101","2025","52","2025","579","NOR","Norway","M","Import","0","W00","World","0","W00","World","H6","HS","true","44","Wood and articles of wood; wood charcoal","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","1471117910.722",,"1471117910.722","4","false","true",
"C","A","20250101","2025","52","2025","600","PRY","Paraguay","M","Import","0","W00","World","0","W00","World","H6","HS","true","44","Wood and articles of wood; wood charcoal","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","38183252.505","33242494.49","38183252.505","4","false","true",
"C","A","20250101","2025","52","2025","579","NOR","Norway","M","Import","0","W00","World","0","W00","World","H6","HS","true","72","Iron and steel","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"false","0","false","901292675.422",,"901292675.422","0","false","true",
"C","A","20250101","2025","52","2025","600","PRY","Paraguay","M","Import","0","W00","World","0","W00","World","H6","HS","true","72","Iron and steel","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"false","0","false","423254238.87","362724104.89","423254238.87","0","false","true",
"C","A","20250101","2025","52","2025","579","NOR","Norway","M","Import","0","W00","World","0","W00","World","H6","HS","true","84","Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","16582803439.253",,"16582803439.253","4","false","true",
"C","A","20250101","2025","52","2025","600","PRY","Paraguay","M","Import","0","W00","World","0","W00","World","H6","HS","true","84","Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","2362751296.924","2205498984.618","2362751296.924","4","false","true",
"C","A","20250101","2025","52","2025","579","NOR","Norway","M","Import","0","W00","World","0","W00","World","H6","HS","true","85","Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","10918801070.787",,"10918801070.787","4","false","true",
"C","A","20250101","2025","52","2025","600","PRY","Paraguay","M","Import","0","W00","World","0","W00","World","H6","HS","true","85","Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","3661713828.981","3487878997.478","3661713828.981","4","false","true",
"C","A","20250101","2025","52","2025","579","NOR","Norway","M","Import","0","W00","World","0","W00","World","H6","HS","true","87","Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","12548567124.367",,"12548567124.367","0","false","true",
"C","A","20250101","2025","52","2025","600","PRY","Paraguay","M","Import","0","W00","World","0","W00","World","H6","HS","true","87","Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","1741767745.096","1605259826.825","1741767745.096","4","false","true",
